gauge_id,gauge_lat,gauge_lon,GPP_MODIS_gCperm2yr,NPP_MODIS_gCperm2yr,GPP_gCperm2yr,C4_fraction,C4_fraction_un
7261000,35.2988,-92.40393,1129.045455,534.9227273,1748.9774,10.58740296,2.548980092
7263295,34.8762,-92.77461,1190.386364,356.8954545,1825.2583,0.038073011,
7290650,32.01778,-90.87694,1380.595455,477.8545455,2093.6646,20.72216271,3.239006238
7291000,31.50306,-90.7775,1506.7,789.6727273,2032.3899,2.26259161,
7292500,31.32472,-91.10944,1436.104545,728.4363636,1928.892,1.651663078,
7295000,31.22694,-91.29556,1453.327273,580.5227273,2113.1533,1.651663078,
7299670,34.35452,-99.74037,583.7869565,268.1956522,995.89984,59.7443958,3.894224254
7301410,35.4731,-100.12095,660.0521739,309.573913,1116.4753,64.62334154,3.6500383
7301500,35.16811,-99.50731,656.4086957,319.5869565,1162.3657,63.78054784,3.730438744
7315200,33.81288,-98.08504,859.8782609,350.426087,1471.8082,14.91370566,1.72647429
7315700,34.00426,-97.56697,897.1130435,404.5173913,1704.022,58.05416357,3.740632285
7335700,34.63844,-94.61272,1379.459091,484.6545455,1948.5145,0.296467818,
7340300,34.37955,-94.23576,1292.409091,492.4863636,1819.6069,,
7346045,32.77792,-94.35742,1337.963636,671.5409091,1792.1941,8.693845021,2.552771828
7359610,34.38278,-93.60611,1480.118182,747.4727273,1994.2565,,
7362100,33.37596,-92.77711,1115.795455,310.5772727,1722.7391,,
7362587,34.79759,-92.93351,1248.163636,368.2863636,1901.219,0.038073011,
7373000,31.53629,-92.40847,1491.227273,754.5227273,1958.6316,0.04101963,
7375000,30.61602,-90.24869,1830.677273,430.35,2168.061,37.39611672,3.959475469
7376000,30.5038,-90.67732,1676.881818,837.8272727,2101.8162,28.63314057,3.825683652
8013000,30.99602,-92.67375,1695.863636,323.4,2046.2822,0.43773962,
8014500,30.69875,-92.89319,1751.3,358.1,1978.4229,0.43773962,
8023080,31.97933,-93.93408,1608.372727,747.2136364,2080.549,,
8025500,31.30713,-93.51573,1670.181818,593.0318182,2014.8108,,
8029500,30.81889,-93.78556,1744.147826,810.7913043,2057.9133,27.26549654,3.817163619
8050800,33.55455,-96.94723,1070.904348,475.073913,1864.7092,46.50103109,3.68713627
8066200,30.71631,-94.95882,6553,,2072.6663,31.66056524,3.92102352
8066300,30.48139,-94.77972,1651.478261,796.1565217,2215.1013,31.05650798,3.735262183
8070000,30.3366,-95.1041,1343.96087,705.5695652,2070.3281,30.51289237,3.838464879
8070200,30.14549,-95.12438,1662.543478,828.4434783,2325.44,30.51289237,3.838464879
8079600,33.03843,-101.19763,424.3391304,208.5956522,802.3364,71.0492665,3.911857128
8082700,33.32927,-99.46508,668.9173913,305.4043478,962.2702,57.14716314,3.657785877
8086212,32.7329,-99.14063,739.7,355.4391304,1251.4524,65.29990398,3.93101345
8086290,32.64846,-99.00451,803.0913043,370.7869565,1188.4233,65.29990398,3.93101345
8101000,31.28489,-97.88502,975.4521739,468.6652174,1442.503,55.45628101,3.948792566
8104900,30.62575,-97.69112,760.6478261,397.3652174,1551.3895,53.70678341,3.929492046
8109700,30.33938,-96.9047,1206.517391,540.3869565,1838.2716,63.54833647,3.963152535
8150800,30.64352,-99.09588,858.3391304,463.0304348,1331.8359,64.55548652,3.984314061
8155200,30.29632,-97.92557,1001.247826,499.3130435,1531.1975,46.67684167,3.868942385
8158700,30.08299,-98.00779,1264.808696,686.4869565,1693.4642,56.66078622,4.022571935
8158810,30.15549,-97.94001,1027.808696,517.2608696,1678.0298,46.67684167,3.868942385
8164000,28.95998,-96.68637,1560.769565,696.7521739,1963.3486,59.34896317,3.972913452
8164300,29.46691,-96.81276,1367.608696,663.8086957,1903.6833,57.01285026,3.936522708
8164600,28.89138,-96.81915,1502.682609,594.9565217,1989.5039,59.34896317,3.972913452
8165300,30.0641,-99.38699,1010.917391,550.4130435,1473.3978,58.59647818,4.004768942
8171300,29.97938,-97.91,1041.417391,530.2782609,1758.7253,65.48972949,4.008648001
8175000,29.21525,-97.44943,1731.034783,330.3173913,1777.4442,65.47480714,3.953854229
8176900,28.86165,-97.22638,1429.46087,684.8391304,1911.6125,63.14575084,3.978320743
8178880,29.72384,-99.07004,890.0347826,477.6304348,1410.2681,56.11472153,4.047897368
8189500,28.29195,-97.27916,1856.573913,444.6695652,2006.6224,60.18196646,3.960847413
8190000,29.42857,-99.99729,778.9869565,401.1695652,1451.4131,58.73192173,4.031335166
8190500,29.47273,-100.23646,852.6521739,427.6478261,1549.5577,60.59949968,4.06497431
8194200,27.96501,-98.96697,780.6652174,358.8826087,1455.5137,62.3199875,4.074524374
8195000,29.48857,-99.70478,1013.6,497.6173913,1582.5544,58.73192173,4.031335166
8196000,29.50468,-99.78145,958.6217391,476.6956522,1542.1138,57.45410377,4.046860405
8198500,29.31431,-99.48047,900.3652174,447.4434783,1287.0879,64.61141665,4.097920068
8200000,29.56967,-99.24671,1186.747826,654.5565217,1472.3575,56.11472153,4.047897368
8202700,29.37079,-99.28782,893.8043478,519.1565217,1431.4542,64.61141665,4.097920068
8267500,36.54169,-105.5564,696.5956522,450.8217391,843.81866,24.29369315,3.164708115
8269000,36.43947,-105.50362,925.8173913,566.0565217,717.6864,26.24160346,3.558738656
8271000,36.50836,-105.53084,786.1304348,504.8,962.3811,24.29369315,3.164708115
8324000,35.66169,-106.74337,424.1521739,237.7217391,255.68405,2.941222576,0.525183807
8377900,35.77725,-105.65807,985.6,582.4652174,1113.7019,1.100830405,
8378500,35.70837,-105.68252,917.3478261,546.3695652,988.26794,1.100830405,
8380500,35.65199,-105.3189,988.4478261,547.1304348,1153.842,28.6650236,3.397134468
9034900,39.76026,-105.9064,733.9391304,488.3913043,660.071,,
9035800,39.80054,-106.02641,805.0913043,525.8434783,659.549,,
9035900,39.79582,-106.03057,419.7565217,288.8652174,666.2944,,
9047700,39.59443,-105.97252,688.2826087,478.8,664.39496,,
9065500,39.62582,-106.27808,575.073913,395.8347826,872.62494,,
9066000,39.59638,-106.26503,801.4956522,548.3826087,808.7774,,
9066200,39.64832,-106.32308,611.3086957,420.6,889.6347,,
9066300,39.64582,-106.38225,6553,,930.62537,,
9081600,39.23221,-107.22727,652.4652174,435.6434783,1020.84314,10.03945699,2.167809958
9107000,38.86027,-106.5667,315.9173913,223.7,483.79428,8.816961013,1.848687396
9210500,42.09605,-110.41656,335.0043478,221.4347826,237.17506,12.08220942,1.547696535
9223000,42.11049,-110.70962,656.7391304,418.2869565,689.7708,13.47499234,2.096303824
9306242,39.92025,-108.47287,347.7217391,221.6826087,277.30023,21.73654918,3.023070545
9312600,39.87579,-111.03739,353.4826087,234.3913043,447.4907,15.84587584,2.632893073
9352900,37.4775,-107.54367,912.1782609,611.8391304,1070.6887,18.20268754,3.070583455
9378170,37.84666,-109.36956,428.2391304,261.0826087,679.98334,43.93883288,3.753479623
9378630,37.75555,-109.47651,627.3913043,352.6608696,1048.0176,43.93883288,3.753479623
9386900,35.28253,-108.55341,444.073913,277.1434783,387.5057,35.16050968,3.470181861
9404450,37.33943,-112.60438,645.3347826,408.8652174,749.6173,26.31913006,2.692878261
9430500,33.06118,-108.53727,440.9652174,249.3652174,583.2767,28.28225898,3.20562981
9430600,33.16673,-108.64978,501.7913043,289.9826087,719.2573,28.28225898,3.20562981
9447800,32.95562,-109.53119,304.6173913,160.3,136.9973,31.34510875,3.45528034
9480000,31.35538,-110.58953,528.8956522,240.8695652,543.6024,40.77797826,1.917587207
9484000,32.31674,-110.81037,356.9956522,170.8913043,535.75397,29.43223022,2.272632142
9484600,32.03591,-110.67758,408.9043478,184.2521739,203.51894,29.43223022,2.272632142
9492400,33.82227,-109.81454,1210.869565,642.0521739,1132.2781,0.418581062,
9494000,33.73644,-110.16677,478.926087,281.5652174,501.80563,52.97080315,4.003781475
9497800,33.84311,-110.55761,474.6826087,273.3391304,578.27106,44.12124688,3.831215559
9497980,33.82783,-110.85623,903.9782609,470.9652174,1052.8135,44.12124688,3.831215559
9505200,34.67474,-111.67209,804.0826087,389.3391304,514.5481,47.4620745,3.775291753
9505350,34.72863,-111.77571,412.6608696,227.0565217,303.27612,47.4620745,3.775291753
9505800,34.53864,-111.69404,519.2565217,246.8956522,508.94394,47.4620745,3.775291753
9508300,34.16087,-111.69292,356.9043478,169.8043478,348.66364,47.87756517,3.811345848
